Party,What they contribute,How they benefit
DreamDAO,Connection with Paramount Global and ideation proposal,Providing ways to use web3 as a social impact tool.
Nickelodeon (Paramount Global),Rights of image and character. Distribution of NFTs.,Allowing users to fund marine life restoration. Allows people outside of web3 to direct their attention to the NFT and their purpose.
