Name,Tags,Notes
Tony Sheng,Person,
Cooper Hurley (Coopahtroopa),Person,Big DAO guy - big following on Twitter
Andrew Yang,Person,
Nina Nichols,Person,
Mike Novogratz,Person,Probably most important backer we could have
Uniswap,Organization,
Global Women in Blockchain,Organization,
Coin desk,Media Outlet,
TechCrunch,Media Outlet,
Wired,Media Outlet,
Galaxy Labs,Media Outlet,
Gemini,Media Outlet,
