Name,Created time,Property,POAP Admin Link,Files & media
POAP Delivery for Learning Together #42: Web3 x Social Impact Fundamentals,"August 10, 2022 1:55 AM",Joshua Cruz,,
POAP Delivery for Learning Together #41: Raiz Vertical Farms,"August 1, 2022 1:25 AM",Joshua Cruz,,
POAP Delivery for Learning Together #40: DAO Champions,"July 29, 2022 1:53 AM",Joshua Cruz,,
POAP Delivery for Learning Together #39: Local Currencies,"July 22, 2022 12:03 AM",Joshua Cruz,,
POAP Delivery for Learning Together #38: ReFi | The Intersection of Climate & Crypto,"July 21, 2022 5:00 PM",Joshua Cruz,,
POAP Delivery for Learning Together #37: Wallets and ENS,"July 12, 2022 8:59 PM",Joshua Cruz,,
POAP Delivery for Learning Together #36: Immanent Metaphysics,"July 2, 2022 6:18 PM",Joshua Cruz,,
POAP Delivery for Learning Together #35: A Solarpunk Future | Learnings From Cohousing and Cooperative Housing for DAOs,"June 25, 2022 11:43 AM",Joshua Cruz,,
POAP Delivery for Learning Together #34: Web3 and Financial Health,"June 22, 2022 9:43 PM",Joshua Cruz,,
POAP Delivery for Learning Together #33: Navigating Your Career in Web3,"June 18, 2022 11:32 AM",Joshua Cruz,,
POAP Delivery for Learning Together #32: The Bounty for Basura,"June 16, 2022 11:48 AM",Joshua Cruz,,
"POAP Delivery forLearning Together #31: Art and Web3 ","June 15, 2022 1:29 AM",Joshua Cruz,,
POAP Delivery for Learning Together #30: Blockchain Regulation,"June 7, 2022 12:31 AM",Joshua Cruz,,
POAP Delivery for Learning Together #29: Cohere,"June 4, 2022 2:39 PM",Joshua Cruz,,
POAP Delivery for Learning Together #28: Ethereum as Infinite Garden | Discovering Your “Why”,"May 28, 2022 2:34 PM","Santiago Cruz ",,
POAP Delivery for Learning Together #27: Imagining a New Climate Narrative,"May 21, 2022 5:36 PM","Santiago Cruz ",,
POAP Delivery for Learning Together #26: Scott Moore AMA,"May 12, 2022 8:15 PM","Santiago Cruz ",,
POAP Delivery for Learning Together #25: Web0 to Web3 | Understanding the Evolution of the Internet,"May 6, 2022 11:00 PM","Santiago Cruz ",,
POAP Delivery for Learning Together #24: Futures Thinking,"April 28, 2022 3:51 PM","Santiago Cruz ",,
Holiday POAP Delivery,"December 26, 2021 1:58 AM",Gary Sheng,,
POAP Delivery for People Who Filled in Plug In Survey,"January 12, 2022 3:45 PM",Gary Sheng,,
POAP Delivery for People Who Came to Learning Together #2,"January 12, 2022 9:15 PM",Gary Sheng,,
Dream DAO Hot Pot Hangout POAPs,"January 21, 2022 10:59 AM",Gary Sheng,,
POAP Deliver for Learning Together #3,"January 23, 2022 3:42 PM","Santiago Cruz ",,
"POAP Deliver for Learning Together #4: How Crypto Can Regenerate The World ","January 27, 2022 11:07 PM","Santiago Cruz ",,
POAP Deliver for Learning Together #5: All About Layer 2s,"January 29, 2022 3:54 PM","Santiago Cruz ",,
POAP Delivery for WG Kickoff Meet!,"January 30, 2022 2:45 PM",Vedanth Rohit,,
POAP Deliver for Learning Together #6: The Future of Organizations,"February 1, 2022 11:45 PM","Santiago Cruz ",,
POAP Deliver for Learning Together #7 (w/ Special Guest Jonathan Hillis),"February 6, 2022 12:31 AM","Santiago Cruz ",,
POAP Deliver for Learning Together #8: Lessons from ConstitutionDAO,"February 9, 2022 11:16 PM","Santiago Cruz ",,
POAP Deliver for Learning Together #8: Lessons from ConstitutionDAO,"February 13, 2022 12:08 AM","Santiago Cruz ",,
POAP Deliver for Learning Together #9: Web3 x Social Impact Fundamentals,"February 13, 2022 1:15 AM","Santiago Cruz ",,
POAP Deliver for Learning Together #10: How to Use Twitter Educationally,"February 16, 2022 1:07 AM","Santiago Cruz ",,
POAP Deliver for Learning Together #11: Decentralizing Our Way Out of the Failure Mode,"February 19, 2022 11:51 PM","Santiago Cruz ",,
POAP Deliver for Learning Together #12: ETHDenver & the Value of In-Person Convenings,"February 23, 2022 12:28 AM","Santiago Cruz ",,
POAP Deliver for Learning Together #13: How Memes Can Change the World,"February 27, 2022 1:35 AM","Santiago Cruz ",,
POAP Deliver for Learning Together #14,"March 5, 2022 5:56 PM","Santiago Cruz ",,
POAP Delivery for Learning Together #15: DAO De Cyrus,"March 12, 2022 11:41 PM","Santiago Cruz ",,
POAP Delivery for Learning Together #16: People Are Everything | Reflecting on SXSW,"March 17, 2022 1:51 AM","Santiago Cruz ",,
POAP Delivery for Learning Together #17: Learning to Regen,"March 20, 2022 2:11 AM","Santiago Cruz ",,
POAP Delivery for Learning Together #18: Anyone Can Be a Writer: How to Build a Web3 Career Around Words,"March 26, 2022 10:35 PM","Santiago Cruz ",,
POAP Delivery for Learning Together #20: How To Create An NFT Without Writing Any Code,"April 9, 2022 2:30 PM","Santiago Cruz ",,
POAP Delivery for Learning Together #19: How We Unite Humanity,"April 9, 2022 2:30 PM","Santiago Cruz ",,
POAP Delivery for Learning Together #21: GnomadiclifeDAO,"April 12, 2022 5:49 PM","Santiago Cruz ",,
POAP Delivery for Learning Together #22: How Governments Can Use Web3,"April 19, 2022 11:59 PM","Santiago Cruz ",,
POAP Delivery for Learning Together #23: Conflict Resolution,"April 24, 2022 9:21 PM","Santiago Cruz ",,
