Name,Chronology,Date
Setting up the council before the season’s beginning,,
Prepping a draft of CR + Reflection toolkit for the self,,
Circulating it within the community for further and final inputs for the season,,
Setting up the form and announcement drafts for Dream Journal and Emails,,
"Reviewing the form responses on a regular basis ",,
