Name,Contributor(s),Details,How much will it cost?,Design Questions,Feedback and Other Thoughts
PR Blitz,Ethan Wei,→ Use existing connections with newsrooms to feature us in articles,,→ How effective are web3 promotions in traditional media outlets?,
Shout-outs/Promotions with Partners,Ethan Wei,→ Leverage pepole,,,
