link to twitter profile,unique POAP claim link,Following us on twitter? 1,DMed?,Column
https://twitter.com/smalkana,"
http://POAP.xyz/claim/ropsnb
",Yes,Yes,Asked
https://twitter.com/DeGodofthunder,"
http://POAP.xyz/claim/1a7v06
",Yes,Yes,Asked
https://twitter.com/LudyDFINITY,"
http://POAP.xyz/claim/ekx4qd
",Yes,Yes,Asked
https://twitter.com/JClutch_92,"
http://POAP.xyz/claim/xejv43
",Yes,Yes,Asked
https://twitter.com/archmage27,"
http://POAP.xyz/claim/87bvye
",Yes,Yes,Asked
https://twitter.com/joyce007wy,"
http://POAP.xyz/claim/hm7zzp
",Yes,Yes,Asked
https://twitter.com/notari_rika,"
http://POAP.xyz/claim/zhjbjs
",Yes,Yes,Asked
https://twitter.com/Jierlich,"
http://POAP.xyz/claim/mrtgzv
",Yes,Yes,Asked
https://twitter.com/JoshuaTThompson,"
http://POAP.xyz/claim/k141lh
",Yes,Yes,Asked
https://twitter.com/cryptosss69,"
http://POAP.xyz/claim/40wxqs
",Yes,Yes,Asked
https://twitter.com/Freeozgur34,"
http://POAP.xyz/claim/3bkmcv
",Yes,Yes,Asked
https://twitter.com/Fl0ridaDan,"
http://POAP.xyz/claim/8pz5qh
",Yes,Yes,Asked
https://twitter.com/0xMirhan,"
http://POAP.xyz/claim/rbztw8
",Yes,Yes,Asked
https://twitter.com/blueskleus,"
http://POAP.xyz/claim/vqu30h
",Yes,Yes,Asked
https://twitter.com/phantaznperil,"
http://POAP.xyz/claim/qnwwbc
",Yes,Yes,Asked
https://twitter.com/robertklieger,"
http://POAP.xyz/claim/kddbcm
",Yes,Yes,Asked
https://twitter.com/fukimameme,"
http://POAP.xyz/claim/m0jtug
",Yes,Yes,Asked
https://twitter.com/Coinolov1,"
http://POAP.xyz/claim/1a6v0v
",Yes,Yes,Asked
https://twitter.com/thejasonhew,"
http://POAP.xyz/claim/qdzuqn
",Yes,Yes,Asked
https://twitter.com/toffuzz,"
http://POAP.xyz/claim/kaw5pd
",Yes,Yes,Asked
https://twitter.com/lomaxeo,"
http://POAP.xyz/claim/pgxf45
",Yes,Yes,Asked
https://twitter.com/Lokeshagar21,"
http://POAP.xyz/claim/ovyga2
",Yes,Yes,Asked
https://twitter.com/mfuysal,"
http://POAP.xyz/claim/isc2dt
",Yes,Yes,Asked
https://twitter.com/bigli1991,"
http://POAP.xyz/claim/67s56f
",Yes,Yes,Asked
https://twitter.com/Halil_akbs,"
http://POAP.xyz/claim/5rkbgx
",Yes,Yes,Asked
https://twitter.com/DylanMeador,"
http://POAP.xyz/claim/d9unhq
",Yes,Yes,Asked
https://twitter.com/IlksemUludag,"
http://POAP.xyz/claim/pvmgbi
",Yes,Yes,Asked
https://twitter.com/joaoh_eth,"
http://POAP.xyz/claim/4pbopb
",Yes,Yes,Asked
https://twitter.com/defiginger,"
http://POAP.xyz/claim/tc6dhj
",Yes,Yes,Asked
https://twitter.com/TarkYILDIZ4,"
http://POAP.xyz/claim/yxi11k
",Yes,Yes,Asked
https://twitter.com/garryfinkleste1,"
http://POAP.xyz/claim/zxgans
",Yes,Yes,Asked
https://twitter.com/acidhotline,"
http://POAP.xyz/claim/vlnvpn
",Yes,Yes,Asked
https://twitter.com/XiangjianWu,"
http://POAP.xyz/claim/obkus0
",Yes,Yes,Asked
https://twitter.com/realpapatooth,"
http://POAP.xyz/claim/ptnypl
",Yes,Yes,Asked
https://twitter.com/SheldonCorey,"
http://POAP.xyz/claim/zmz4iw
",Yes,Yes,Asked
https://twitter.com/kitraum,"
http://POAP.xyz/claim/4y4kik
",Yes,Yes,Asked
https://twitter.com/everz2140,"
http://POAP.xyz/claim/g8ocnk
",Yes,Yes,Asked
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
,,No,No,
