Phase 🔢,Overview ℹ️,Speaker Time Commitment 🕐
"Create content ","The speaker will integrate learnings from the discussion, the lecture, and comments from the feedback form to create the educational content. ","5-6 hours "
"Review content ","The Dream DAO will source volunteers, ideally a mix of Champions and Builders, to review the educational content and give feedback. After, the speaker will integrate the feedback. ","1 hour "
