Phase 🔢,Overview ℹ️,Speaker Time Commitment 🕐
"Create overview document ","A 1-3 page document that introduces people to the topic and summarizes the speakers’ current thoughts. This overview document will be required pre-reading for discussion attendees. ","2-3 hours "
"Review first draft ","The Dream DAO will source volunteers, ideally a mix of Champions and Builders, to review the overview document and give feedback. After, the speaker will integrate the feedback. ",30 minutes
"Host the discussion ","The speaker will introduce the topic and help guide the discussion. 
A feedback form will be sent after the session to attendees. ","1 hour "
